record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
R000181,E0184,EV_001,2024-11-04,2024-12-04,completed,100,95,,hr
R000182,E0184,EV_002,2024-11-04,2024-12-04,completed,100,86,,hr
R000183,E0184,EV_003,2024-11-04,2024-12-04,completed,100,100,,hr
R000184,E0185,EV_004,2024-11-04,2024-11-20,completed,100,,5,hr
R000185,E0186,EV_001,2024-11-04,2024-12-04,completed,100,93,,hr
R000186,E0187,EV_001,2024-11-04,2024-12-04,completed,100,93,,hr
R000187,E0189,EV_001,2024-11-04,2024-12-04,completed,100,79,,hr
R000188,E0190,EV_001,2024-11-04,2024-12-04,completed,100,77,,hr
R000189,E0191,EV_001,2024-11-04,2024-12-04,completed,100,84,,hr
R000190,E0193,EV_001,2024-11-04,2024-12-04,completed,100,74,,hr
R000191,E0194,EV_001,2024-11-04,2024-12-04,completed,100,88,,hr
R000192,E0197,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000193,E0198,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000194,E0199,EV_001,2024-11-04,2024-12-04,completed,100,97,,hr
R000195,E0095,EV_028,2024-11-05,,no_show,0,,,self
R000196,E0153,EV_032,2024-11-05,,completed,100,,,manager
R000197,E0184,EV_004,2024-11-05,2024-11-29,completed,100,,,hr
R000198,E0018,EV_039,2024-11-06,,declined,0,,,manager
R000199,E0120,EV_038,2024-11-06,,completed,100,65,3,manager
R000200,E0150,EV_012,2024-11-06,,completed,100,82,2,manager
R000201,E0053,EV_019,2024-11-07,,no_show,0,,,manager
R000202,E0055,EV_037,2024-11-07,,completed,100,,4,self
R000203,E0103,EV_008,2024-11-07,,completed,100,,4,self
R000204,E0109,EV_005,2024-11-07,,dropped,30,,2,hr
R000205,E0140,EV_037,2024-11-07,,dropped,45,,1,self
R000206,E0198,EV_008,2024-11-07,,completed,100,,,self
R000207,E0099,EV_034,2024-11-08,,dropped,90,,,self
R000208,E0067,EV_004,2024-11-11,2024-11-15,completed,100,,5,hr
R000209,E0073,EV_040,2024-11-12,,dropped,25,,,manager
R000210,E0123,EV_016,2024-11-12,,no_show,0,,,manager
R000211,E0143,EV_035,2024-11-12,,dropped,30,,,manager
R000212,E0057,EV_033,2024-11-13,,completed,100,76,,manager
R000213,E0063,EV_040,2024-11-13,,completed,100,,5,manager
R000214,E0006,EV_014,2024-11-14,,declined,0,,,manager
R000215,E0008,EV_001,2024-11-14,2024-12-14,completed,100,98,,hr
R000216,E0008,EV_002,2024-11-14,2024-12-14,completed,100,83,,hr
R000217,E0008,EV_003,2024-11-14,2024-12-14,completed,100,96,,hr
R000218,E0037,EV_001,2024-11-14,2024-12-14,completed,100,82,,hr
R000219,E0037,EV_002,2024-11-14,2024-12-14,completed,100,84,,hr
R000220,E0037,EV_003,2024-11-14,2024-12-14,completed,100,74,,hr
R000221,E0078,EV_001,2024-11-14,2024-12-14,completed,100,85,,hr
R000222,E0078,EV_002,2024-11-14,2024-12-14,completed,100,78,,hr
R000223,E0078,EV_003,2024-11-14,2024-12-14,completed,100,74,,hr
R000224,E0149,EV_039,2024-11-14,,no_show,0,,,self
R000225,E0198,EV_033,2024-11-14,,completed,100,72,4,self
R000226,E0032,EV_040,2024-11-15,,completed,100,,3,self
R000227,E0148,EV_032,2024-11-15,,completed,100,,4,manager
R000228,E0158,EV_039,2024-11-15,,no_show,0,,,self
R000229,E0008,EV_004,2024-11-18,2024-12-11,completed,100,,,hr
R000230,E0047,EV_009,2024-11-18,,completed,100,92,3,self
R000231,E0054,EV_021,2024-11-18,,completed,100,,4,self
R000232,E0055,EV_016,2024-11-18,,completed,100,,4,self
R000233,E0114,EV_001,2024-11-18,2024-12-18,completed,100,99,,hr
R000234,E0114,EV_002,2024-11-18,2024-12-18,completed,100,74,,hr
R000235,E0114,EV_003,2024-11-18,2024-12-18,completed,100,92,,hr
R000236,E0160,EV_001,2024-11-18,2024-12-18,completed,100,100,,hr
R000237,E0160,EV_002,2024-11-18,2024-12-18,completed,100,87,,hr
R000238,E0160,EV_003,2024-11-18,2024-12-18,completed,100,84,,hr
R000239,E0182,EV_017,2024-11-18,,completed,100,92,3,self
R000240,E0078,EV_004,2024-11-19,2024-12-11,completed,100,,2,hr
R000241,E0123,EV_040,2024-11-19,,completed,100,,4,manager
R000242,E0169,EV_036,2024-11-19,,declined,0,,,manager
R000243,E0103,EV_038,2024-11-20,,completed,100,64,4,self
R000244,E0198,EV_032,2024-11-20,,completed,100,,4,self
R000245,E0023,EV_001,2024-11-21,2024-12-21,completed,100,100,,hr
R000246,E0023,EV_002,2024-11-21,2024-12-21,completed,100,73,,hr
R000247,E0023,EV_003,2024-11-21,2024-12-21,completed,100,71,,hr
R000248,E0070,EV_039,2024-11-21,,completed,100,,4,self
R000249,E0100,EV_001,2024-11-21,2024-12-21,completed,100,74,,hr
R000250,E0100,EV_002,2024-11-21,2024-12-21,completed,100,99,,hr
R000251,E0100,EV_003,2024-11-21,2024-12-21,completed,100,98,,hr
R000252,E0130,EV_001,2024-11-21,2024-12-21,completed,100,80,,hr
R000253,E0130,EV_002,2024-11-21,2024-12-21,completed,100,83,,hr
R000254,E0130,EV_003,2024-11-21,2024-12-21,completed,100,85,,hr
R000255,E0144,EV_040,2024-11-21,,completed,100,,,self
R000256,E0171,EV_001,2024-11-21,2024-12-21,completed,100,78,,hr
R000257,E0171,EV_002,2024-11-21,2024-12-21,completed,100,90,,hr
R000258,E0171,EV_003,2024-11-21,2024-12-21,completed,100,76,,hr
R000259,E0088,EV_037,2024-11-22,,completed,100,,,self
R000260,E0094,EV_038,2024-11-22,,completed,100,66,5,self
R000261,E0160,EV_004,2024-11-22,2024-12-13,completed,100,,3,hr
R000262,E0048,EV_001,2024-11-25,2024-12-25,completed,100,79,,hr
R000263,E0048,EV_002,2024-11-25,2024-12-25,completed,100,99,,hr
R000264,E0048,EV_003,2024-11-25,2024-12-25,completed,100,94,,hr
R000265,E0057,EV_039,2024-11-25,,completed,100,,1,manager
R000266,E0179,EV_040,2024-11-25,,completed,100,,5,manager
R000267,E0037,EV_004,2024-11-26,2024-12-11,completed,100,,5,hr
R000268,E0150,EV_010,2024-11-26,,completed,100,60,5,self
R000269,E0002,EV_005,2024-11-27,,dropped,90,,,hr
R000270,E0149,EV_037,2024-11-27,,completed,100,,,manager
R000271,E0048,EV_004,2024-11-28,2024-12-22,completed,100,,5,hr
R000272,E0186,EV_009,2024-11-28,,declined,0,,,manager
R000273,E0050,EV_010,2024-11-29,,completed,100,87,3,self
R000274,E0118,EV_040,2024-11-29,,completed,100,,5,self
R000275,E0134,EV_023,2024-11-29,,no_show,0,,,manager
R000276,E0057,EV_037,2024-12-02,,completed,100,,5,self
R000277,E0100,EV_004,2024-12-02,2024-12-18,completed,100,,5,hr
R000278,E0114,EV_004,2024-12-02,2024-12-14,completed,100,,5,hr
R000279,E0154,EV_040,2024-12-02,,declined,0,,,manager
R000280,E0005,EV_011,2024-12-03,,no_show,0,,,self
R000281,E0095,EV_034,2024-12-03,,completed,100,,,self
R000282,E0147,EV_015,2024-12-03,,completed,100,88,,self
R000283,E0088,EV_025,2024-12-04,,completed,100,68,3,self
R000284,E0130,EV_004,2024-12-04,2024-12-18,completed,100,,5,hr
R000285,E0171,EV_004,2024-12-04,2024-12-18,completed,100,,4,hr
R000286,E0190,EV_006,2024-12-04,,dropped,90,,,manager
R000287,E0197,EV_040,2024-12-04,,no_show,0,,,self
R000288,E0007,EV_012,2024-12-05,,completed,100,79,5,self
R000289,E0013,EV_012,2024-12-05,,declined,0,,,manager
R000290,E0054,EV_038,2024-12-05,,completed,100,71,4,self
R000291,E0073,EV_008,2024-12-05,,completed,100,,5,self
R000292,E0050,EV_025,2024-12-06,,completed,100,68,,self
R000293,E0071,EV_023,2024-12-09,,completed,100,,5,self
R000294,E0199,EV_037,2024-12-09,,completed,100,,5,self
R000295,E0039,EV_008,2024-12-10,,no_show,0,,,self
R000296,E0109,EV_040,2024-12-10,,completed,100,,5,manager
R000297,E0136,EV_037,2024-12-10,,completed,100,,5,manager
R000298,E0144,EV_034,2024-12-10,,completed,100,,,self
R000299,E0059,EV_040,2024-12-11,,no_show,0,,,manager
R000300,E0066,EV_039,2024-12-11,,completed,100,,4,hr
R000301,E0120,EV_017,2024-12-11,,completed,100,64,,manager
R000302,E0149,EV_036,2024-12-11,,completed,100,,5,hr
R000303,E0023,EV_004,2024-12-12,2024-12-18,completed,100,,,hr
R000304,E0014,EV_031,2024-12-13,,completed,100,,,self
R000305,E0120,EV_015,2024-12-13,,completed,100,96,5,self
R000306,E0148,EV_038,2024-12-13,,no_show,0,,,manager
R000307,E0030,EV_001,2024-12-16,2025-01-15,completed,100,88,,hr
R000308,E0030,EV_002,2024-12-16,2025-01-15,completed,100,89,,hr
R000309,E0030,EV_003,2024-12-16,2025-01-15,completed,100,77,,hr
R000310,E0192,EV_001,2024-12-16,2025-01-15,completed,100,76,,hr
R000311,E0192,EV_002,2024-12-16,2025-01-15,completed,100,97,,hr
R000312,E0192,EV_003,2024-12-16,2025-01-15,completed,100,96,,hr
R000313,E0011,EV_022,2024-12-17,,completed,100,61,2,hr
R000314,E0118,EV_016,2024-12-17,,completed,100,,,self
R000315,E0147,EV_014,2024-12-17,,completed,100,,4,self
R000316,E0079,EV_033,2024-12-18,,completed,100,66,,hr
R000317,E0080,EV_024,2024-12-18,,dropped,30,,,hr
R000318,E0168,EV_034,2024-12-18,,completed,100,,3,self
R000319,E0014,EV_028,2024-12-19,,completed,100,,4,self
R000320,E0093,EV_037,2024-12-19,,completed,100,,4,manager
R000321,E0163,EV_036,2024-12-20,,declined,0,,,manager
R000322,E0169,EV_034,2024-12-20,,completed,100,,4,manager
R000323,E0020,EV_016,2024-12-23,,completed,100,,4,self
R000324,E0145,EV_040,2024-12-23,,declined,0,,,manager
R000325,E0169,EV_036,2024-12-23,,completed,100,,5,self
R000326,E0177,EV_035,2024-12-23,,completed,100,66,4,self
R000327,E0006,EV_015,2024-12-24,,completed,100,87,,self
R000328,E0015,EV_016,2024-12-24,,completed,100,,,manager
R000329,E0005,EV_006,2024-12-25,,completed,100,,5,self
R000330,E0107,EV_039,2024-12-25,,completed,100,,4,self
R000331,E0020,EV_027,2024-12-26,,completed,100,,5,self
R000332,E0098,EV_008,2024-12-26,,completed,100,,4,manager
R000333,E0155,EV_007,2024-12-26,,no_show,0,,,manager
R000334,E0060,EV_040,2024-12-27,,completed,100,,4,manager
R000335,E0102,EV_040,2024-12-27,,no_show,0,,,self
R000336,E0131,EV_028,2024-12-27,,completed,100,,2,self
R000337,E0047,EV_012,2024-12-30,,completed,100,65,4,manager
R000338,E0023,EV_040,2024-12-31,,completed,100,,5,self
R000339,E0055,EV_027,2025-01-02,,completed,100,,4,self
R000340,E0111,EV_019,2025-01-02,,completed,100,,3,manager
R000341,E0030,EV_004,2025-01-06,2025-01-11,completed,100,,4,hr
R000342,E0053,EV_019,2025-01-06,,no_show,0,,,self
R000343,E0062,EV_034,2025-01-06,,completed,100,,5,self
R000344,E0192,EV_004,2025-01-06,2025-01-10,completed,100,,,hr
R000345,E0035,EV_040,2025-01-07,,completed,100,,,self
R000346,E0048,EV_009,2025-01-07,,dropped,30,,2,manager
R000347,E0070,EV_037,2025-01-07,,declined,0,,,manager
R000348,E0193,EV_036,2025-01-07,,completed,100,,4,self
R000349,E0043,EV_038,2025-01-09,,completed,100,92,4,self
R000350,E0112,EV_038,2025-01-09,,completed,100,96,5,manager
R000351,E0171,EV_008,2025-01-09,,dropped,25,,,self
R000352,E0008,EV_016,2025-01-10,,completed,100,,4,self
R000353,E0069,EV_040,2025-01-10,,completed,100,,2,self
R000354,E0103,EV_035,2025-01-10,,no_show,0,,,manager
R000355,E0091,EV_018,2025-01-13,,dropped,70,,,self
R000356,E0169,EV_036,2025-01-13,,completed,100,,5,self
R000357,E0006,EV_009,2025-01-14,,completed,100,70,5,self
R000358,E0154,EV_016,2025-01-14,,completed,100,,5,self
R000359,E0046,EV_036,2025-01-16,,completed,100,,5,self
R000360,E0052,EV_001,2025-01-16,2025-02-15,completed,100,84,,hr
R000361,E0052,EV_002,2025-01-16,2025-02-15,completed,100,90,,hr
R000362,E0052,EV_003,2025-01-16,2025-02-15,completed,100,100,,hr
R000363,E0097,EV_037,2025-01-16,,completed,100,,3,self
R000364,E0163,EV_036,2025-01-16,,completed,100,,,manager
R000365,E0071,EV_022,2025-01-17,,completed,100,74,5,self
R000366,E0160,EV_039,2025-01-17,,completed,100,,4,self
R000367,E0052,EV_004,2025-01-20,2025-02-12,completed,100,,3,hr
R000368,E0088,EV_040,2025-01-20,,completed,100,,3,hr
R000369,E0140,EV_010,2025-01-20,,dropped,35,,2,manager
R000370,E0164,EV_036,2025-01-20,,completed,100,,5,manager
R000371,E0179,EV_019,2025-01-20,,declined,0,,,manager
R000372,E0043,EV_009,2025-01-21,,completed,100,65,5,self
R000373,E0105,EV_030,2025-01-21,,dropped,35,,,manager
R000374,E0150,EV_040,2025-01-21,,completed,100,,3,self
R000375,E0023,EV_005,2025-01-22,,completed,100,85,3,self
R000376,E0050,EV_008,2025-01-22,,no_show,0,,,self
R000377,E0053,EV_008,2025-01-22,,completed,100,,4,self
R000378,E0075,EV_038,2025-01-23,,completed,100,95,,self
R000379,E0194,EV_037,2025-01-23,,completed,100,,4,self
R000380,E0094,EV_034,2025-01-27,,dropped,70,,,self
R000381,E0112,EV_037,2025-01-27,,dropped,25,,,manager
R000382,E0199,EV_036,2025-01-27,,completed,100,,,self
R000383,E0056,EV_039,2025-01-28,,completed,100,,4,self
R000384,E0069,EV_039,2025-01-28,,no_show,0,,,manager
R000385,E0176,EV_022,2025-01-28,,completed,100,65,5,self
R000386,E0187,EV_012,2025-01-28,,dropped,90,,,manager
R000387,E0198,EV_034,2025-01-28,,no_show,0,,,self
R000388,E0011,EV_037,2025-01-29,,completed,100,,2,self
R000389,E0085,EV_021,2025-01-30,,completed,100,,4,self
R000390,E0093,EV_035,2025-01-30,,dropped,20,,,manager
R000391,E0118,EV_008,2025-01-30,,completed,100,,5,self
R000392,E0181,EV_001,2025-01-30,2025-03-01,completed,100,82,,hr
R000393,E0181,EV_002,2025-01-30,2025-03-01,completed,100,97,,hr
R000394,E0181,EV_003,2025-01-30,2025-03-01,completed,100,82,,hr
R000395,E0005,EV_036,2025-02-03,,completed,100,,5,self
R000396,E0073,EV_021,2025-02-03,,no_show,0,,,hr
R000397,E0083,EV_001,2025-02-03,2025-03-05,completed,100,99,,hr
R000398,E0083,EV_002,2025-02-03,2025-03-05,completed,100,71,,hr
R000399,E0083,EV_003,2025-02-03,2025-03-05,completed,100,83,,hr
R000400,E0177,EV_039,2025-02-03,,declined,0,,,manager
R000401,E0023,EV_012,2025-02-04,,completed,100,99,,self
